Variety	Vigour	NFruits	Seeds	SepalLength	PetalLength	Brix_Day1	Brix_Day2	Brix_Day3	Acidity	FruitWeight	LeafWeight	Yield
Variety1	1	25	5	10	0	15	21.2	20	33.33333333	66.66666667	111.92	2798
Variety1	2	24	4	8	0	13	22.4	23.6	30.76923077	61.53846154	78.17	1797.91
Variety1	1	24	4	10	0	14	21.8	25	28.57142857	71.42857143	90.55	2082.65
Variety1	1	16	8	4	0	12	21.2	23.2	66.66666667	33.33333333	83.97	1343.52
Variety1	1	22	6	8	0	14	20.4	23.4	42.85714286	57.14285714	120.95	2660.9
Variety1	1	26	9	7	1	17	19.6	21.2	52.94117647	41.17647059	113.45	2609.35
Variety1	1	26	6	10	0	16	22.7	22.4	37.5	62.5	89.59	2239.75
Variety1	1	25	3	9	0	13	18.8	24.8	23.07692308	69.23076923	74.31	1857.75
Variety1	1	15	3	6	0	9	19.8	23.6	33.33333333	66.66666667	97.1	1456.5
Variety1	1	16	6	5	0	11	19.2	21.6	54.54545455	45.45454545	92.17	1474.72
Variety1	3	27	7	7	2	16	21.6	21.2	43.75	43.75	103.35	2687.1
Variety1	2	22	7	6	1	14	21	21.8	50	42.85714286	100.95	2220.9
Variety1	2	22	7	6	1	14	21.8	22.6	50	42.85714286	95.05	2091.1
Variety1	3	15	5	5	0	10	22.4	24.2	50	50	122.52	1592.76
Variety1	2	14	4	5	0	9	22	23.2	44.44444444	55.55555556	87.28	1309.2
Variety1	2	21	3	9	0	12	21	22.2	25	75	95.65	2199.95
Variety1	2	15	3	6	0	9	19.8	21.2	33.33333333	66.66666667	102.61	1641.76
Variety1	2	14	6	4	0	10	19.6	21	60	40	117.02	1638.28
Variety1	2	14	4	5	0	9	20.4	22.4	44.44444444	55.55555556	122.67	2698.74
Variety1	2	22	4	9	0	13	19.8	23.2	30.76923077	69.23076923	128.7	3088.8
Variety1	2	27	9	9	0	18	20	22.2	50	50	110.25	2646
Variety1	2	35	9	13	0	22	18.8	21.8	40.90909091	59.09090909	137.47	4399.04
Variety1	2	25	13	6	0	19	19.2	21.6	68.42105263	31.57894737	170.95	4102.8
Variety1	2	36	16	10	0	26	20.4	22.2	61.53846154	38.46153846	163.71	5729.85
Variety1	1	29	12	7	1	20	21.1	22.2	60	35	119.85	3475.65
Variety1	2	28	6	11	0	17	17.8	24	35.29411765	64.70588235	179.32	4841.64
Variety1	1	27	6	9	1	16	19.2	20.2	37.5	56.25	194.6	5254.2
Variety1	1	26	6	10	0	16	19.8	22.2	37.5	62.5	192.54	5006.04
Variety1	2	31	8	10	1	19	20.6	23	42.10526316	52.63157895	112.14	3364.2
Variety1	3	28	8	10	0	18	19.6	21.8	44.44444444	55.55555556	131.2	3542.4
Variety2	3	31	17	7	0	24	13.6	14	70.83333333	29.16666667	329.46	9883.8
